RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth
HH,NS-IBTS,1,FR,35HT,GOV,50,,P,S0146,77,2014,2,10,1252,-9,30,D,52.4538,3.9217,52.4802,3.8880,33F3,27,V,S0146,1,1,C,5.9000,-9,,3714,179,26,,4.5000,1300,57.0,18.0,145,0.7000,700,,,,,,,,197,9,,,7.7,,34.60,,,,,,,,,-9,,
HH,NS-IBTS,3,SE,26D4,GOV,60,S,V,24,12,2014,8,21,1236,-9,30,D,57.3730,11.3157,57.4037,11.3242,43G1,40,V,23,1,1,C,4.4000,-9,,3482,181,,,6.5000,1050,76.0,20.0,168,0.7000,811,9,3.7000,,14,0.5000,,,270,13,,,,,,,,,,,,,,,,
HH,NS-IBTS,1,GB-SCT,748S,GOV,47,S,P,21,9,2012,1,28,1425,-9,30,D,56.5552,1.1508,56.5253,1.1640,42F1,90,V,74SC0009,1,1,C,4.6000,-9,,3418,300,28,,4.5000,1100,84.0,20.0,186,0.7000,,175,3.7000,3.7000,215,0.3000,,,360,2,360,0.2000,,,,,,,,,,,,,,
HH,NS-IBTS,1,GB-SCT,748S,GOV,47,B,P,14,2,2012,1,26,1057,-9,30,D,56.6570,-1.6142,56.6275,-1.6142,42E8,60,V,74SC0002,1,1,C,5.1000,-9,,3285,210,28,,4.5000,1100,67.0,17.0,186,0.7000,,180,3.6000,3.6000,280,0.2000,,,200,5,180,0.5000,,,,,,,,,,,,,,
HH,NS-IBTS,1,GB-SCT,748S,GOV,47,B,P,15,3,2012,1,26,1406,-9,30,D,56.6978,-2.2393,56.6723,-2.2743,42E7,60,V,74SC0003,1,1,C,4.7000,-9,,3552,210,28,,4.5000,1100,66.0,17.0,186,0.7000,,210,3.9000,3.9000,200,0.6000,,,200,6,180,0.3000,,,,,,,,,,,,,,
HH,NS-IBTS,1,GB-SCT,748S,GOV,47,S,P,22,10,2012,1,29,0740,-9,30,D,56.7437,3.6747,56.7273,3.6295,42F3,60,V,74SC0010,1,1,C,5.0000,-9,,3297,210,28,,4.5000,1100,74.0,18.0,186,0.7000,,240,3.6000,3.6000,235,0.5000,,,120,12,120,0.6000,,,,,,,,,,,,,,
HH,NS-IBTS,1,GB-SCT,748S,GOV,47,S,P,23,11,2012,1,29,1136,-9,30,D,56.7657,2.5790,56.7653,2.5268,42F2,70,V,74SC0011,1,1,C,4.8000,-9,,3173,240,28,,4.5000,1100,79.0,19.0,186,0.7000,,270,3.4000,3.4000,35,0.3000,,,95,10,90,1.0000,,,,,,,,,,,,,,
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24116,307,2015,6,29,0721,-9,15,D,57.1981,3.3609,,,43F3,62,V,563,1,1,C,3.0000,-9,,1749,220,,,4.4000,1075,72.0,,,0.8000,,349,3.7000,,,,,,,,,,11.5,7.4,34.99,35.00,,,,,,,,,,
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24118,309,2015,6,29,1309,-9,16,D,57.2377,2.4867,,,43F2,79,V,564,1,1,C,2.9000,-9,,1819,240,,,4.4000,1075,75.0,,,0.8000,,196,3.6000,,,,,,,,,,12.0,7.1,34.96,35.03,,,,,,,,,,
HH,NS-IBTS,3,NO,58J3,GOV,60,S,P,24119,310,2015,6,29,1749,-9,17,D,57.2187,1.4519,,,43F1,94,V,565,1,1,C,2.9000,-9,,2009,300,,,4.4000,1075,79.0,,,0.8000,,44,3.8000,,,,,,,,,,12.1,7.0,34.97,35.00,,,,,,,,,,
