RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,387,387,2019,11,10,1251,R1Q4,30,D,58.0510,-8.6740,58.0740,-8.6330,45E1,140,V,74SC0444,1,1,R,5.1000,-9,,3535,450,28,,4.5000,1100,100.0,19.0,186,0.7000,,45,3.8000,,217,0.4000,,,148,14,150,2.8000,11.0,10.2,35.14,35.33,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,388,388,2019,11,10,1521,R1Q4,20,D,58.1810,-8.9050,58.1650,-8.9220,45E1,200,V,,1,1,R,5.1000,-9,,2110,630,28,,4.5000,1100,106.0,21.0,186,0.7000,,209,3.4000,,223,0.3000,,,144,23,260,5.5000,,,,,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,383,383,2019,11,9,1321,R1Q4,30,D,58.4380,-8.4180,58.4170,-8.4610,45E1,206,V,,1,1,R,4.8000,-9,,3444,640,28,,4.5000,1100,106.0,,186,0.7000,,220,3.7000,,152,0.1000,,,137,12,100,3.0000,,,,,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,384,384,2019,11,9,1535,R1Q4,30,D,58.5360,-8.6280,58.5180,-8.6750,46E1,440,V,74SC0441,1,1,R,4.6000,-9,,3373,1320,28,,4.5000,1100,115.0,21.0,186,0.7000,,231,3.7000,,275,0.4000,,,136,12,80,2.5000,11.1,9.9,35.26,35.33,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,382,382,2019,11,9,1049,R1Q4,30,D,58.5630,-8.0120,58.5450,-8.0610,46E1,184,V,74SC0440,1,1,R,5.1000,-9,,3465,570,28,,4.5000,1100,105.0,20.0,186,0.7000,,234,3.7000,,179,0.4000,,,130,13,70,3.0000,11.1,10.0,34.93,35.34,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,380,380,2019,11,8,1423,R1Q4,30,D,58.9730,-7.4380,58.9480,-7.4740,46E2,197,V,74SC0438,1,1,R,5.2000,-9,,3464,600,28,,4.5000,1100,103.0,20.0,186,0.7000,,225,3.7000,,106,0.6000,,,105,7,80,2.2000,11.2,9.5,35.16,35.31,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,371,371,2019,11,6,1212,R1Q4,30,D,59.4370,-6.5080,59.4080,-6.5310,47E3,235,V,74SC0430,1,1,R,5.1000,-9,,3451,720,28,,4.5000,1100,106.0,21.0,186,0.7000,,205,3.7000,,293,0.2000,,,51,9,40,1.5000,11.1,10.3,35.17,35.32,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,370,370,2019,11,6,0938,R1Q4,25,D,59.6170,-6.2050,59.5950,-6.2400,48E3,247,V,74SC0429,1,1,R,4.6000,-9,,3070,780,28,,4.5000,1100,103.0,22.0,186,0.7000,,218,3.9000,,230,0.4000,,,15,6,10,1.5000,11.2,9.9,35.16,35.33,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,365,365,2019,11,5,0731,R1Q4,30,D,59.9890,-4.5030,60.0190,-4.4950,48E5,149,V,74SC0424,1,1,R,5.2000,-9,,3411,477,28,,4.5000,1100,99.0,20.0,186,0.7000,,12,3.7000,,197,0.2000,,,15,10,1,3.0000,10.5,10.7,35.28,35.19,,,,,,,,,,
HH,SCOWCGFS,4,GB-SCT,748S,GOV,97,I2,P,386,386,2019,11,10,1008,R1Q4,30,D,57.7880,-8.8990,57.8200,-8.8940,44E1,139,V,74SC0443,1,1,R,5.0000,-9,,3527,465,28,,4.5000,1100,105.0,19.0,186,0.7000,,9,3.8000,,144,0.5000,,,150,13,260,5.5000,11.2,10.4,35.14,35.31,,,,,,,,,,
