RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth
HH,IE-IGFS,4,IE,45CE,GOV,55,S,P,FG138,121,2012,12,1,0856,26,32,D,51.9240,-7.3960,51.8950,-7.4280,32E2,57,V,,1,2,R,4.9000,-9,,3906,259,26,,5.2000,1400,77.1,17.7,247,,998,214,3.9000,,,,,,302,5,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,FG197,79,2012,11,20,1208,21,30,D,51.2430,-7.6720,51.2470,-7.6190,31E2,94,V,,1,2,R,4.7000,-9,,3727,336,26,,5.2000,1400,104.0,19.8,247,,998,83,4.0000,,,,,,234,20,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,FG168,81,2012,11,20,1536,21,30,D,51.2890,-7.2470,51.2970,-7.1960,31E2,88,V,,1,2,R,4.6000,-9,,3667,324,26,,5.2000,1400,103.2,19.5,247,,998,75,4.0000,,,,,,233,20,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,FG15,80,2012,11,20,1358,21,30,D,51.3470,-7.4630,51.3280,-7.4220,31E2,84,V,,1,2,R,4.5000,-9,,3554,324,26,,5.2000,1400,104.4,20.0,247,,998,126,3.8000,,,,,,249,22,,,,,,,,,,,,,,,,
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,FG195,82,2019,11,20,0721,29,30,D,50.0610,-10.0030,50.0760,-9.9570,29D9,130,V,-9,1,2,R,4.2000,-9,-9,3691,450,26,-9,5.2000,1400,118.9,23.3,247,-9.0000,998,63,4.0000,-9.0000,-9,-9.0000,-9,-9.0000,171,14,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,CC425,83,2019,11,20,0914,29,30,D,50.1360,-9.6940,50.1330,-9.6440,29E0,131,V,-9,1,2,R,4.2000,-9,-9,3590,450,26,-9,5.2000,1400,119.4,23.4,247,-9.0000,998,95,3.9000,-9.0000,-9,-9.0000,-9,-9.0000,165,15,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,FG162,84,2019,11,20,1121,29,30,D,50.3400,-9.3950,50.3630,-9.3580,29E0,124,V,-9,1,2,R,4.1000,-9,-9,3671,438,26,-9,5.2000,1400,119.6,23.6,247,-9.0000,998,45,4.0000,-9.0000,-9,-9.0000,-9,-9.0000,165,15,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,FG211,85,2019,11,20,1417,29,30,D,50.4110,-9.8060,50.3820,-9.8080,29E0,124,V,-9,1,2,R,4.1000,-9,-9,3228,438,26,-9,5.2000,1400,118.4,23.6,247,-9.0000,998,182,3.5000,-9.0000,-9,-9.0000,-9,-9.0000,130,18,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,FG54,86,2019,11,20,1617,28,30,D,50.5020,-10.0280,50.5150,-10.0780,30D9,137,V,-9,1,2,R,4.0000,-9,-9,3830,474,26,-9,5.2000,1400,121.9,23.1,247,-9.0000,998,292,4.1000,-9.0000,-9,-9.0000,-9,-9.0000,165,17,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9
HH,IE-IGFS,4,IE,45CE,GOV,110,S,P,FG133,91,2019,11,21,1604,21,30,D,50.5160,-8.0710,50.5330,-8.0280,30E1,116,V,-9,1,2,R,3.9000,-9,-9,3588,427,26,-9,5.2000,1400,119.9,23.2,247,-9.0000,998,58,3.9000,-9.0000,-9,-9.0000,-9,-9.0000,165,7,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9
HH,IE-IGFS,4,IE,45CE,GOV,110,I2,P,GD5,23,2019,11,4,1352,34,33,D,56.2170,-7.6060,56.1820,-7.6100,41E2,115,V,-9,1,2,R,4.3000,-9,-9,3904,390,26,-9,5.2000,1400,108.1,22.0,247,-9.0000,2212,183,3.8000,-9.0000,-9,-9.0000,-9,-9.0000,51,27,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9
HH,IE-IGFS,4,IE,45CE,GOV,110,I2,P,MB48,18,2019,11,3,1420,36,18,D,56.2950,-8.1160,56.2880,-8.0830,41E1,176,V,-9,1,2,R,4.1000,-9,-9,2187,570,26,-9,5.2000,1400,117.3,22.9,247,-9.0000,2212,110,3.9000,-9.0000,-9,-9.0000,-9,-9.0000,90,20,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9
HH,IE-IGFS,4,IE,45CE,GOV,55,I2,P,FG192,22,2019,11,4,1108,33,31,D,56.3200,-7.0340,56.2970,-7.0790,41E2,89,V,-9,1,2,R,4.1000,-9,-9,3783,336,26,-9,5.2000,1400,83.3,22.2,247,-9.0000,2212,227,3.9000,-9.0000,-9,-9.0000,-9,-9.0000,39,22,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9
HH,IE-IGFS,4,IE,45CE,GOV,55,I2,P,SC583,21,2019,11,4,0908,33,31,D,56.3750,-6.7920,56.4060,-6.7640,41E3,78,V,-9,1,2,R,4.2000,-9,-9,3860,296,26,-9,5.2000,1400,82.4,22.1,247,-9.0000,2212,26,4.0000,-9.0000,-9,-9.0000,-9,-9.0000,20,26,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9
HH,IE-IGFS,4,IE,45CE,GOV,110,I2,P,FG94,19,2019,11,3,1615,36,21,D,56.3790,-7.8170,56.3930,-7.7900,41E2,174,V,-9,1,2,R,4.2000,-9,-9,2282,540,26,-9,5.2000,1400,118.4,23.7,247,-9.0000,2212,46,3.5000,-9.0000,-9,-9.0000,-9,-9.0000,69,20,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9
HH,IE-IGFS,4,IE,45CE,GOV,110,I2,P,MB3,37,2019,11,7,1106,36,28,D,56.0260,-8.1660,56.0040,-8.2060,41E1,155,V,-9,1,2,R,4.2000,-9,-9,3496,486,26,-9,5.2000,1400,112.9,22.8,247,-9.0000,2212,225,4.0000,-9.0000,-9,-9.0000,-9,-9.0000,47,13,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20,-9,-9,-9,-9,-9,-9,-9
