RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth
HH,EVHOE,4,FR,35HT,GOV,100,D,-9,S0940,116,2014,11,19,1419,4,30,D,49.9454,-9.4530,49.9165,-9.4651,28E0,128,V,S0940,1,1,R,4.9000,-9,,3345,475,26,,4.5000,1300,85.0,,145,0.7000,210,198,3.5000,3.8000,,,,,185,14,,,,,,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,100,D,-9,S0941,117,2014,11,19,1651,4,30,D,49.9424,-9.8925,49.9265,-9.9316,28E0,136,V,S0941,1,1,R,4.5000,-9,,3303,480,26,,4.5000,1300,94.0,,145,0.7000,210,235,3.5000,3.5000,,,,,178,12,,,,,,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,50,D,-9,S0969,145,2014,11,27,0902,3,31,D,51.1933,-6.1313,51.1626,-6.1406,31E3,108,V,S0969,1,1,R,4.9000,-9,,3471,400,26,,4.5000,1300,63.0,,145,0.7000,210,187,3.6000,3.8000,,,,,140,21,,,,,,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,50,D,-9,S0970,146,2014,11,27,1115,3,30,D,51.2436,-6.5180,51.2646,-6.5622,31E3,114,V,S0970,1,1,R,4.4000,-9,,3857,419,26,,4.5000,1300,66.0,,145,0.7000,210,303,4.0000,3.9000,,,,,127,15,,,,,,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,50,D,-9,S0971,147,2014,11,27,1417,3,30,D,51.1263,-6.4841,51.1584,-6.4929,31E3,95,V,S0971,1,1,R,4.2000,-9,,3632,374,26,,4.5000,1300,63.0,,145,0.7000,210,175,3.8000,3.7000,,,,,136,18,,,,,,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,50,D,-9,S0972,148,2014,11,27,1651,3,30,D,51.1142,-6.3467,51.0935,-6.3882,31E3,107,V,S0972,1,1,R,4.4000,-9,,3701,400,26,,4.5000,1300,68.0,,145,0.7000,210,225,4.0000,3.5000,,,,,127,22,,,,,,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,50,D,-9,S0973,149,2014,11,28,0900,3,31,D,50.6661,-7.3488,50.6650,-7.2964,30E2,109,V,S0973,1,1,R,4.7000,-9,,3694,381,26,,4.5000,1300,74.0,,145,0.7000,210,99,3.8000,3.3000,,,,,95,25,,,,,,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,50,D,-9,S0974,150,2014,11,28,1147,3,31,D,50.4338,-7.1902,50.4021,-7.2079,29E2,112,V,S0974,1,1,R,4.7000,-9,,3747,391,26,,4.5000,1300,72.0,,145,0.7000,210,184,3.9000,3.5000,,,,,92,28,,,,,,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,50,D,-9,S0975,151,2014,11,28,1411,3,31,D,50.3624,-7.6512,50.3548,-7.7045,29E2,106,V,S0975,1,1,R,4.7000,-9,,3899,401,26,,4.5000,1300,70.0,,145,0.7000,210,255,4.1000,3.3000,,,,,77,21,,,,,,,,,,,,,,,,
HH,EVHOE,4,FR,35HT,GOV,50,D,-9,S0976,152,2014,11,28,1642,3,31,D,50.4619,-8.1792,50.4406,-8.2208,29E1,117,V,S0976,1,1,R,4.6000,-9,,3785,420,26,,4.5000,1300,71.0,,145,0.7000,210,217,3.9000,3.4000,,,,,83,14,,,,,,,,,,,,,,,,
