V1,V2,V3
12.6940909090909,58.6311111111111,47.3499641418457
12.8625,58.6311111111111,42.5599670410156
13.0309090909091,58.6311111111111,47.8599662780762
13.1993181818182,58.6311111111111,52.2799797058105
13.3677272727273,58.6311111111111,44.1499824523926
13.5361363636364,58.6311111111111,65.8399810791016
13.7045454545455,58.6311111111111,89.1499786376953
13.8729545454545,58.6311111111111,77.5099792480469
14.0413636363636,58.6311111111111,72.2499847412109
14.2097727272727,58.6311111111111,97.6380767822266
14.3781818181818,58.6311111111111,128.788070678711
14.5465909090909,58.6311111111111,125.318077087402
14.715,58.6311111111111,95.648078918457
14.8834090909091,58.6311111111111,89.2180786132812
15.0518181818182,58.6311111111111,121.788078308105
15.2202272727273,58.6311111111111,105.878074645996
15.3886363636364,58.6311111111111,77.4595336914062
15.5570454545455,58.6311111111111,86.0695343017578
15.7254545454545,58.6311111111111,89.3695373535156
15.8938636363636,58.6311111111111,60.1695327758789
16.0622727272727,58.6311111111111,38.0895347595215
16.2306818181818,58.6311111111111,20.3695335388184
16.3990909090909,58.6311111111111,7.72986030578613
16.5675,58.6311111111111,15.1198606491089
16.7359090909091,58.6311111111111,20.3698596954346
16.9043181818182,58.6311111111111,7.45986032485962
17.0727272727273,58.6311111111111,-8.2801399230957
17.2411363636364,58.6311111111111,-19.5801391601562
17.4095454545455,58.6311111111111,-34.3290710449219
17.5779545454545,58.6311111111111,-44.1890716552734
17.7463636363636,58.6311111111111,-44.7090721130371
17.9147727272727,58.6311111111111,-48.6390724182129
18.0831818181818,58.6311111111111,-78.7390747070312
18.2515909090909,58.6311111111111,-180.46907043457
18.42,58.6311111111111,-235.549072265625
18.5884090909091,58.6311111111111,-202.394195556641
18.7568181818182,58.6311111111111,-211.724197387695
18.9252272727273,58.6311111111111,-150.87419128418
19.0936363636364,58.6311111111111,-125.164192199707
19.2620454545455,58.6311111111111,-74.2541961669922
19.4304545454545,58.6311111111111,-95.0641937255859
19.5988636363636,58.6311111111111,-106.103775024414
19.7672727272727,58.6311111111111,-136.513778686523
19.9356818181818,58.6311111111111,-148.143783569336
20.1040909090909,58.6311111111111,-94.373779296875
20.2725,58.6311111111111,-100.853775024414
20.4409090909091,58.6311111111111,-123.863777160645
20.6093181818182,58.6311111111111,-121.563774108887
20.7777272727273,58.6311111111111,-82.9397888183594
20.9461363636364,58.6311111111111,-79.7597885131836
21.1145454545455,58.6311111111111,-85.3397903442383
21.2829545454545,58.6311111111111,-87.649787902832
21.4513636363636,58.6311111111111,-85.7697906494141
21.6197727272727,58.6311111111111,-75.0397872924805
21.7881818181818,58.6311111111111,-49.5400009155273
21.9565909090909,58.6311111111111,-38.9599990844727
22.125,58.6311111111111,-36.3800010681152
-14.925,58.4622222222222,-762.679992675781
-14.7565909090909,58.4622222222222,-695.260009765625
-14.5881818181818,58.4622222222222,-664.712646484375
-14.4197727272727,58.4622222222222,-632.462646484375
-14.2513636363636,58.4622222222222,-587.692626953125
-14.0829545454545,58.4622222222222,-558.962646484375
-13.9145454545455,58.4622222222222,-724.692626953125
-13.7461363636364,58.4622222222222,-935.552612304688
-13.5777272727273,58.4622222222222,-1164.55505371094
-13.4093181818182,58.4622222222222,-1394.35498046875
-13.2409090909091,58.4622222222222,-1498.86499023438
-13.0725,58.4622222222222,-1661.48498535156
-12.9040909090909,58.4622222222222,-1672.30505371094
-12.7356818181818,58.4622222222222,-1651.05505371094
-12.5672727272727,58.4622222222222,-1639.5400390625
-12.3988636363636,58.4622222222222,-1623.90002441406
-12.2304545454545,58.4622222222222,-1656.5
-12.0620454545455,58.4622222222222,-1728.0400390625
-11.8936363636364,58.4622222222222,-1756.19006347656
-11.7252272727273,58.4622222222222,-1775.78002929688
-11.5568181818182,58.4622222222222,-1806.57006835938
-11.3884090909091,58.4622222222222,-1854.95520019531
-11.22,58.4622222222222,-1883.78515625
-11.0515909090909,58.4622222222222,-1910.12524414062
-10.8831818181818,58.4622222222222,-1933.89526367188
-10.7147727272727,58.4622222222222,-1955.25524902344
-10.5463636363636,58.4622222222222,-1955.09521484375
-10.3779545454545,58.4622222222222,-1931.14245605469
-10.2095454545455,58.4622222222222,-1904.91247558594
-10.0411363636364,58.4622222222222,-1869.81237792969
-9.87272727272727,58.4622222222222,-1797.66247558594
-9.70431818181818,58.4622222222222,-1246.14245605469
-9.53590909090909,58.4622222222222,-818.732421875
-9.3675,58.4622222222222,-469.77001953125
-9.19909090909091,58.4622222222222,-395.850006103516
-9.03068181818182,58.4622222222222,-345.100006103516
-8.86227272727272,58.4622222222222,-303.670013427734
-8.69386363636363,58.4622222222222,-206.770004272461
-8.52545454545454,58.4622222222222,-172.790008544922
-8.35704545454545,58.4622222222222,-155.59001159668
-8.18863636363636,58.4622222222222,-146.695953369141
-8.02022727272727,58.4622222222222,-120.185943603516
-7.85181818181818,58.4622222222222,-107.305946350098
-7.68340909090909,58.4622222222222,-84.0659484863281
-7.515,58.4622222222222,-83.9059448242188
-7.34659090909091,58.4622222222222,-101.725944519043
-7.17818181818182,58.4622222222222,-104.292495727539
-7.00977272727272,58.4622222222222,-71.0124969482422
-6.84136363636363,58.4622222222222,2.96750617027283
-6.67295454545454,58.4622222222222,32.4475059509277
-6.50454545454545,58.4622222222222,70.4175033569336
-6.33613636363636,58.4622222222222,94.4575042724609
-6.16772727272727,58.4622222222222,-81.5878067016602
-5.99931818181818,58.4622222222222,-106.537803649902
-5.83090909090909,58.4622222222222,-102.057807922363
-5.6625,58.4622222222222,-104.547805786133
-5.49409090909091,58.4622222222222,-87.3078079223633
-5.32568181818182,58.4622222222222,-79.9878082275391
-5.15727272727272,58.4622222222222,41.2221946716309
-4.98886363636363,58.4622222222222,185.549713134766
-4.82045454545454,58.4622222222222,376.229705810547
-4.65204545454545,58.4622222222222,245.87971496582
-4.48363636363636,58.4622222222222,193.789703369141
-4.31522727272727,58.4622222222222,163.989715576172
-4.14681818181818,58.4622222222222,226.94970703125
-3.97840909090909,58.4622222222222,183.197158813477
-3.81,58.4622222222222,271.627166748047
-3.64159090909091,58.4622222222222,193.697158813477
-3.47318181818182,58.4622222222222,136.837158203125
-3.30477272727273,58.4622222222222,87.1971664428711
-3.13636363636363,58.4622222222222,-10.732834815979
